Description
Sperm whale,Physeter macrocephalus,"The sperm whale or cachalot is the largest of the toothed whales and the largest toothed predator. It is the only living member of the genus Physeter and one of three extant species in the sperm whale family, along with the pygmy sperm whale and dwarf sperm whale of the genus Kogia."
Blue whale,Balaenoptera musculus,"The blue whale is a marine mammal and a baleen whale. Reaching a maximum confirmed length of 29.9 meters and weighing up to 199 tonnes, it is the largest animal known ever to have existed. The blue whale''s long and slender body can be of various shades of greyish-blue dorsally and somewhat lighter underneath."
Bowhead whale ,Balaena mysticetus,The bowhead whale is a species of baleen whale belonging to the family Balaenidae and is the only living representative of the genus Balaena.
Bryde's whale,Balaenoptera brydei,"Bryde''s whale, or the Bryde''s whale complex, putatively comprises three species of rorqual and maybe four. The 'complex'"" means the number and classification remains unclear because of a lack of definitive information and research."""
False killer whale,Pseudorca crassidens,The false killer whale is a species of oceanic dolphin that is the only extant representative of the genus Pseudorca. It is found in oceans worldwide but mainly in tropical regions.
Fin whale,Balaenoptera physalus,"The fin whale, also known as finback whale or common rorqual and formerly known as herring whale or razorback whale, is a cetacean belonging to the parvorder of baleen whales. It is the second-longest species of cetacean on Earth after the blue whale."
Gray whale,Eschrichtius robustus,"The gray whale, also known as the grey whale, gray back whale, Pacific gray whale, Korean gray whale, or California gray whale, is a baleen whale that migrates between feeding and breeding grounds yearly."
Humpback whale,Megaptera novaeangliae,"The humpback whale is a species of baleen whale. It is a rorqual and is the only species in the genus Megaptera. Adults range in length from 14–17 m and weigh up to 40 metric tons. The humpback has a distinctive body shape, with long pectoral fins and tubercles on its head."
Killer whale,Orcinus orca,"The orca, also called killer whale, is a toothed whale belonging to the oceanic dolphin family, of which it is the largest member. It is the only extant species in the genus Orcinus and is recognizable by its black-and-white patterned body."
Minke whale ,Balaenoptera acutorostrata,The common minke whale or northern minke whale is a species of minke whale within the suborder of baleen whales. It is the smallest species of the rorquals and the second smallest species of baleen whale.
Pilot whale ,Globicephala,"Pilot whales are cetaceans belonging to the genus Globicephala. The two extant species are the long-finned pilot whale and the short-finned pilot whale. The two are not readily distinguishable at sea, and analysis of the skulls is the best way to distinguish between the species."
Right whale ,Eubalaena,"Right whales are three species of large baleen whales of the genus Eubalaena: the North Atlantic right whale, the North Pacific right whale and the Southern right whale. They are classified in the family Balaenidae with the bowhead whale."
Sei whale ,Balaenoptera borealis,"The sei whale is a baleen whale, the third-largest rorqual after the blue whale and the fin whale. It inhabits most oceans and adjoining seas, and prefers deep offshore waters. It avoids polar and tropical waters and semi-enclosed bodies of water."
